season,team1,team2,winner,win_by_runs,win_by_wickets,venue,toss_winner,toss_decision,player_of_match
2008,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,72,0,Feroz Shah Kotla,Rajasthan Royals,bat,Player19
2008,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,0,5,Chinnaswamy Stadium,Royal Challengers Bangalore,field,Player3
2008,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,0,6,MA Chidambaram Stadium,Sunrisers Hyderabad,field,Player21
2008,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,0,9,Wankhede Stadium,Mumbai Indians,bat,Player42
2008,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,0,3,Chinnaswamy Stadium,Punjab Kings,field,Player3
2008,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,73,0,MA Chidambaram Stadium,Royal Challengers Bangalore,bat,Player14
2008,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,0,5,MA Chidambaram Stadium,Royal Challengers Bangalore,field,Player47
2008,Kolkata Knight Riders,Punjab Kings,Punjab Kings,8,0,Eden Gardens,Punjab Kings,bat,Player36
2008,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,0,6,Rajiv Gandhi Stadium,Sunrisers Hyderabad,field,Player29
2008,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,0,2,MA Chidambaram Stadium,Chennai Super Kings,field,Player14
2008,Rajasthan Royals,Punjab Kings,Punjab Kings,0,7,Chinnaswamy Stadium,Rajasthan Royals,field,Player40
2008,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,53,0,MA Chidambaram Stadium,Sunrisers Hyderabad,field,Player45
2008,Mumbai Indians,Delhi Capitals,Mumbai Indians,65,0,Wankhede Stadium,Mumbai Indians,bat,Player24
2008,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,0,3,Wankhede Stadium,Sunrisers Hyderabad,bat,Player35
2008,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,0,7,MA Chidambaram Stadium,Mumbai Indians,field,Player7
2008,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,48,0,Rajiv Gandhi Stadium,Sunrisers Hyderabad,bat,Player35
2008,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,65,0,Eden Gardens,Kolkata Knight Riders,bat,Player14
2008,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,0,7,Rajiv Gandhi Stadium,Royal Challengers Bangalore,bat,Player9
2008,Rajasthan Royals,Punjab Kings,Punjab Kings,0,3,Wankhede Stadium,Punjab Kings,bat,Player32
2008,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,15,0,Eden Gardens,Kolkata Knight Riders,field,Player13
2008,Punjab Kings,Rajasthan Royals,Punjab Kings,86,0,Chinnaswamy Stadium,Rajasthan Royals,field,Player45
2008,Delhi Capitals,Mumbai Indians,Delhi Capitals,0,4,Rajiv Gandhi Stadium,Mumbai Indians,bat,Player28
2008,Mumbai Indians,Punjab Kings,Punjab Kings,1,0,Wankhede Stadium,Mumbai Indians,field,Player13
2008,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,0,8,Eden Gardens,Mumbai Indians,field,Player37
2008,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,0,8,Eden Gardens,Kolkata Knight Riders,field,Player32
2008,Punjab Kings,Mumbai Indians,Mumbai Indians,62,0,Wankhede Stadium,Mumbai Indians,field,Player12
2008,Delhi Capitals,Punjab Kings,Punjab Kings,56,0,Wankhede Stadium,Delhi Capitals,bat,Player2
2008,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,96,0,Wankhede Stadium,Chennai Super Kings,bat,Player2
2008,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,0,6,Chinnaswamy Stadium,Sunrisers Hyderabad,bat,Player17
2008,Rajasthan Royals,Delhi Capitals,Delhi Capitals,98,0,Rajiv Gandhi Stadium,Delhi Capitals,bat,Player48
2008,Punjab Kings,Mumbai Indians,Punjab Kings,0,6,Feroz Shah Kotla,Punjab Kings,field,Player36
2008,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,19,0,Chinnaswamy Stadium,Chennai Super Kings,bat,Player41
2008,Mumbai Indians,Punjab Kings,Punjab Kings,0,1,Eden Gardens,Punjab Kings,bat,Player25
2008,Chennai Super Kings,Punjab Kings,Chennai Super Kings,0,3,Chinnaswamy Stadium,Punjab Kings,field,Player48
2008,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,2,0,Wankhede Stadium,Sunrisers Hyderabad,field,Player12
2008,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,9,0,Wankhede Stadium,Sunrisers Hyderabad,bat,Player48
2008,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,0,6,Wankhede Stadium,Royal Challengers Bangalore,field,Player11
2008,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,0,4,Rajiv Gandhi Stadium,Mumbai Indians,field,Player25
2008,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,0,2,MA Chidambaram Stadium,Mumbai Indians,bat,Player16
2008,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,68,0,Wankhede Stadium,Mumbai Indians,bat,Player48
2008,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,33,0,Chinnaswamy Stadium,Kolkata Knight Riders,bat,Player22
2008,Rajasthan Royals,Delhi Capitals,Delhi Capitals,0,6,Rajiv Gandhi Stadium,Rajasthan Royals,bat,Player8
2008,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,30,0,Wankhede Stadium,Kolkata Knight Riders,bat,Player33
2008,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,0,3,Chinnaswamy Stadium,Sunrisers Hyderabad,field,Player49
2008,Punjab Kings,Mumbai Indians,Mumbai Indians,0,5,Rajiv Gandhi Stadium,Punjab Kings,field,Player41
2008,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,0,5,Eden Gardens,Delhi Capitals,bat,Player21
2008,Punjab Kings,Rajasthan Royals,Punjab Kings,0,3,MA Chidambaram Stadium,Punjab Kings,field,Player31
2008,Delhi Capitals,Chennai Super Kings,Delhi Capitals,0,8,MA Chidambaram Stadium,Chennai Super Kings,bat,Player22
2008,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,2,0,MA Chidambaram Stadium,Rajasthan Royals,field,Player33
2008,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,0,7,Feroz Shah Kotla,Kolkata Knight Riders,bat,Player26
2008,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,0,7,Wankhede Stadium,Chennai Super Kings,bat,Player20
2008,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,0,3,Chinnaswamy Stadium,Rajasthan Royals,field,Player32
2008,Rajasthan Royals,Punjab Kings,Punjab Kings,25,0,MA Chidambaram Stadium,Rajasthan Royals,field,Player22
2008,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,52,0,MA Chidambaram Stadium,Royal Challengers Bangalore,bat,Player43
2008,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,0,5,Chinnaswamy Stadium,Delhi Capitals,field,Player5
2008,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,96,0,Chinnaswamy Stadium,Kolkata Knight Riders,bat,Player35
2008,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,30,0,Eden Gardens,Rajasthan Royals,field,Player19
2008,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,0,5,MA Chidambaram Stadium,Kolkata Knight Riders,field,Player23
2008,Rajasthan Royals,Mumbai Indians,Mumbai Indians,1,0,MA Chidambaram Stadium,Mumbai Indians,bat,Player47
2008,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,0,9,Feroz Shah Kotla,Chennai Super Kings,bat,Player16
2009,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,69,0,Rajiv Gandhi Stadium,Sunrisers Hyderabad,bat,Player3
2009,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,86,0,Wankhede Stadium,Kolkata Knight Riders,field,Player28
2009,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,0,4,Feroz Shah Kotla,Punjab Kings,field,Player26
2009,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,0,1,Rajiv Gandhi Stadium,Delhi Capitals,bat,Player23
2009,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,34,0,Chinnaswamy Stadium,Chennai Super Kings,field,Player19
2009,Chennai Super Kings,Mumbai Indians,Mumbai Indians,4,0,MA Chidambaram Stadium,Chennai Super Kings,field,Player32
2009,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,0,2,Eden Gardens,Sunrisers Hyderabad,bat,Player33
2009,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,12,0,Eden Gardens,Sunrisers Hyderabad,bat,Player40
2009,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,13,0,Chinnaswamy Stadium,Chennai Super Kings,field,Player2
2009,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,87,0,Wankhede Stadium,Royal Challengers Bangalore,field,Player29
2009,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,0,2,Eden Gardens,Chennai Super Kings,bat,Player4
2009,Chennai Super Kings,Delhi Capitals,Delhi Capitals,75,0,Feroz Shah Kotla,Delhi Capitals,field,Player25
2009,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,0,5,Wankhede Stadium,Delhi Capitals,field,Player35
2009,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,0,2,Wankhede Stadium,Mumbai Indians,field,Player24
2009,Rajasthan Royals,Delhi Capitals,Delhi Capitals,12,0,Wankhede Stadium,Rajasthan Royals,bat,Player23
2009,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,0,1,Wankhede Stadium,Kolkata Knight Riders,field,Player48
2009,Mumbai Indians,Rajasthan Royals,Mumbai Indians,19,0,Wankhede Stadium,Rajasthan Royals,field,Player41
2009,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,28,0,Rajiv Gandhi Stadium,Royal Challengers Bangalore,field,Player19
2009,Chennai Super Kings,Punjab Kings,Punjab Kings,69,0,Eden Gardens,Punjab Kings,bat,Player21
2009,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,0,9,Feroz Shah Kotla,Kolkata Knight Riders,field,Player39
2009,Delhi Capitals,Punjab Kings,Punjab Kings,35,0,Feroz Shah Kotla,Delhi Capitals,bat,Player18
2009,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,0,1,Feroz Shah Kotla,Kolkata Knight Riders,bat,Player46
2009,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,0,2,Feroz Shah Kotla,Sunrisers Hyderabad,bat,Player38
2009,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,0,4,Wankhede Stadium,Royal Challengers Bangalore,bat,Player25
2009,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,0,3,Feroz Shah Kotla,Kolkata Knight Riders,field,Player39
2009,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,39,0,Rajiv Gandhi Stadium,Royal Challengers Bangalore,bat,Player13
2009,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,0,4,Chinnaswamy Stadium,Sunrisers Hyderabad,bat,Player41
2009,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,92,0,Rajiv Gandhi Stadium,Rajasthan Royals,bat,Player49
2009,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,6,0,MA Chidambaram Stadium,Chennai Super Kings,bat,Player32
2009,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,80,0,Rajiv Gandhi Stadium,Sunrisers Hyderabad,bat,Player37
2009,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,0,9,MA Chidambaram Stadium,Kolkata Knight Riders,bat,Player49
2009,Delhi Capitals,Punjab Kings,Delhi Capitals,54,0,Rajiv Gandhi Stadium,Delhi Capitals,field,Player23
2009,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,0,8,Rajiv Gandhi Stadium,Kolkata Knight Riders,field,Player28
2009,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,0,8,MA Chidambaram Stadium,Chennai Super Kings,field,Player28
2009,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,0,6,Wankhede Stadium,Kolkata Knight Riders,bat,Player20
2009,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,13,0,Rajiv Gandhi Stadium,Sunrisers Hyderabad,bat,Player6
2009,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,47,0,Wankhede Stadium,Kolkata Knight Riders,field,Player30
2009,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,33,0,Rajiv Gandhi Stadium,Chennai Super Kings,field,Player32
2009,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,26,0,Wankhede Stadium,Mumbai Indians,bat,Player27
2009,Mumbai Indians,Delhi Capitals,Mumbai Indians,0,9,Eden Gardens,Mumbai Indians,bat,Player21
2009,Punjab Kings,Rajasthan Royals,Rajasthan Royals,0,1,Feroz Shah Kotla,Punjab Kings,bat,Player38
